"CSP","Account/Subscription name","Subscription ID","Resource type","VM  Name","OS Type","VM status","Private IP address","Public IP Address","Login user name","Region","Subnet name","VNET ID","VM LaunchTime","VM Specs","Owner email ID","timestamp"
"Azure","TIM-CORP-DMZ","6d96d50d-bc50-4942-bc22-4bd496941282","VM-List","AVM-TIM-CORP-DMZ-02","Windows","Succeeded","10.181.120.100","","clouduser","centralindia","10.181.120.96/27","AVM-Intune-NDES-NSG","","Standard_D4ads_v5","","2023-07-17T06:52:23"
"Azure","TIM-CORP-DMZ","6d96d50d-bc50-4942-bc22-4bd496941282","VM-List","AVM-CTXO-NAD001","Windows","Succeeded","10.181.1.4","","","centralindia","10.181.1.0/26","AVM-CTXO-NAD001-NSG","","Standard_E2s_v3","","2023-07-17T06:52:23"
"Azure","TIM-CORP-DMZ","6d96d50d-bc50-4942-bc22-4bd496941282","VM-List","AVM-Intune-NDES02","Windows","Succeeded","10.181.120.105","","clouduser","centralindia","10.181.120.96/27","AVM-Intune-NDES-NSG","","Standard_D4ads_v5","","2023-07-17T06:52:23"
"Azure","TIM-CORP-DMZ","6d96d50d-bc50-4942-bc22-4bd496941282","VM-List","AVM-TIM-CORP-DMZ-01","Windows","Succeeded","10.181.120.102","","clouduser","centralindia","10.181.120.96/27","AVM-Intune-NDES-NSG","","Standard_D4ads_v5","","2023-07-17T06:52:23"
"Azure","Azure-NAD-IO : PROD","09207a5d-7568-45ef-9765-14557be88930","VM-List","DPWXLR-APP","Linux","Succeeded","10.181.226.7","","clouduser","uaenorth","10.181.226.0/28","NAD-Private-NonProd-Tools-Subnet01-NSG","","Standard_F4s_v2","","2023-07-17T06:52:23"
"Azure","Azure-NAD-IO : PROD","09207a5d-7568-45ef-9765-14557be88930","VM-List","Jump","Linux","Succeeded","10.181.226.100","","azureuser","uaenorth","10.181.226.96/28","","","Standard_B2s","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS15-2","Windows","Succeeded","10.181.194.160","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD6-4","Windows","Succeeded","10.181.194.150","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS15-1","Windows","Succeeded","10.181.194.159","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS12-0","Windows","Succeeded","10.181.194.132","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD4-0","Windows","Succeeded","10.181.194.40","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-GSK-Sandbox-Dedicated-NSG","","Standard_E2s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD4-1","Windows","Succeeded","10.181.194.37","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-GSK-Sandbox-Dedicated-NSG","","Standard_E2s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS0-3","Windows","Succeeded","10.181.192.11","","vdiadmin","centralindia","10.181.192.0/23","","","Standard_D8s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD4-4","Windows","Succeeded","10.181.194.38","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-GSK-Sandbox-Dedicated-NSG","","Standard_E2s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS22-0","Windows","Succeeded","10.181.194.141","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD4-2","Windows","Succeeded","10.181.194.39","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-GSK-Sandbox-Dedicated-NSG","","Standard_E2s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS8-1","Windows","Succeeded","10.181.194.145","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS3-2","Windows","Succeeded","10.181.194.68","","vdiadmin","centralindia","10.181.194.64/27","TechM-AVD-Shared-ScreenProtected-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS0-12","Windows","Succeeded","10.181.192.20","","vdiadmin","centralindia","10.181.192.0/23","WVD-Training-Subnet-NSG","","Standard_D8s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD4-5","Windows","Succeeded","10.181.194.36","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-GSK-Sandbox-Dedicated-NSG","","Standard_E2s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS15-3","Windows","Succeeded","10.181.194.158","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS2-7","Windows","Succeeded","10.181.194.139","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS3-3","Windows","Succeeded","10.181.194.69","","vdiadmin","centralindia","10.181.194.64/27","TechM-AVD-Shared-ScreenProtected-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS17-1","Windows","Succeeded","10.181.194.165","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD6-0","Windows","Succeeded","10.181.194.147","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS0-11","Windows","Succeeded","10.181.192.22","","vdiadmin","centralindia","10.181.192.0/23","WVD-Training-Subnet-NSG","","Standard_D8s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS1-1","Windows","Succeeded","10.181.196.13","","vdiadmin","centralindia","10.181.196.0/26","TechM-WVD-Project-AMAT-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS10-0","Windows","Succeeded","10.181.194.42","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-TENSORFLOW-DEV-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS10-2","Windows","Succeeded","10.181.194.44","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-TENSORFLOW-DEV-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS2-2","Windows","Succeeded","10.181.194.137","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS10-1","Windows","Succeeded","10.181.194.43","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-TENSORFLOW-DEV-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD6-1","Windows","Succeeded","10.181.194.153","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS2-4","Windows","Succeeded","10.181.194.135","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDDD4-3","Windows","Succeeded","10.181.194.41","","vdiadmin","centralindia","10.181.194.32/28","TechM-AVD-GSK-Sandbox-Dedicated-NSG","","Standard_E2s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS2-10","Windows","Succeeded","10.181.194.146","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS14-2","Windows","Succeeded","10.181.194.155","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS0-0","Windows","Succeeded","10.181.192.10","","vdiadmin","centralindia","10.181.192.0/23","AZINDWVDDD01-nsg","","Standard_D8s_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS14-0","Windows","Succeeded","10.181.194.156","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS2-8","Windows","Succeeded","10.181.194.133","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS20-1","Windows","Succeeded","10.181.194.140","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D4as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS8-0","Windows","Succeeded","10.181.194.144","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS17-0","Windows","Succeeded","10.181.194.164","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS1-0","Windows","Succeeded","10.181.196.12","","vdiadmin","centralindia","10.181.196.0/26","TechM-WVD-Project-AMAT-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS14-1","Windows","Succeeded","10.181.194.154","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
"Azure","TECHM-WVD","7a28e5d2-7f09-4419-ae7b-6e201d00ee71","VM-List","AZINVDMS2-3","Windows","Succeeded","10.181.194.134","","vdiadmin","centralindia","10.181.194.128/25","TechM-WVD-Common-Support-NSG","","Standard_D8as_v4","","2023-07-17T06:52:23"
